Department,Change,PercentChange
13,-97,-100.0
22,-75,-68.18181818181817
44,-1,-100.0
9,-57,-68.67469879518072
10,-47,-36.434108527131784
12,-107,-59.11602209944752
Unknown,10,100.0
48,-2,-100.0
211,-1,-100.0
5,-67,-65.0485436893204
43,-2,-100.0
17,-96,-75.0
8,-43,-45.26315789473684
42,-1,-100.0
2,-88,-60.273972602739725
72,-1,-100.0
11,-92,-63.888888888888886
15,-164,-70.6896551724138
14,-35,-31.818181818181817
16,-80,-59.70149253731343
7,14,15.384615384615385
4,-103,-66.88311688311688
18,-121,-58.7378640776699
24,-51,-40.8
3,-53,-42.74193548387097
20,57,2850.0
21,1,20.0
6,-155,-74.8792270531401
1,-135,-72.19251336898395
215,-1,-100.0
